,V1,V2,V3,Hd1,Hd2,Hd3,I1,I2,I3,Q1,Q2,Q3,P1,P2,P3
2018-05-19 05:30:00+00:00,234.7243,235.6386,235.1679,3.581834187,3.61253957,3.641634271,61.67353,52.95595,41.79575,-7.782788,-6.548868,-6.421739,11.16377,9.707911,6.497259
2018-05-19 05:45:00+00:00,234.0326,234.96,234.5841,3.493092038,3.590031574,3.710778167,67.14966,55.80634,38.86842,-7.554436,-6.702009,-6.704273,12.87155,10.36001,5.147789
2018-05-19 06:00:00+00:00,235.5517,236.6625,236.1614,3.403848863,3.597504571,3.763000819,72.67875,53.92327,38.83057,-7.587704,-6.900289,-6.284195,14.55196,9.78856,5.602515
2018-05-19 06:15:00+00:00,233.9508,234.9286,234.4066,3.566165908,3.555323204,3.717081511,63.91062,57.64676,39.67129,-7.830976,-6.5164,-6.057385,11.72013,10.99258,6.083978
2018-05-19 06:30:00+00:00,235.1373,236.0876,235.6652,3.525817436,3.417767666,3.734082478,65.45457,67.36194,38.71507,-7.543432,-6.226839,-5.918831,12.47004,13.89596,5.942277
2018-05-19 06:45:00+00:00,235.3469,236.2534,235.9697,3.507213982,3.435236424,3.720314408,68.48618,66.4166,40.37455,-7.398371,-5.825073,-5.363198,13.38252,13.81106,6.876419
2018-05-19 07:00:00+00:00,235.1318,236.2032,235.9017,3.422930823,3.442529646,3.880202459,78.39078,64.04018,35.28284,-7.447957,-5.768334,-5.302027,15.96778,13.20955,5.269842
2018-05-19 07:15:00+00:00,234.0844,235.2427,234.8659,3.515446477,3.666911925,3.862026764,73.72089,55.74895,37.01516,-6.834923,-5.923655,-5.255656,14.8537,10.70788,5.81312
2018-05-19 07:30:00+00:00,234.0605,235.5491,235.0748,3.285880054,3.777405538,3.924813655,93.04154,50.99799,36.96714,-6.050195,-6.203652,-5.000408,20.16052,9.114117,5.829465
2018-05-19 07:45:00+00:00,235.3415,236.7711,236.4455,3.279993878,3.591906993,4.06562765,89.04224,55.99101,34.33482,-5.957088,-5.135418,-5.500725,19.35744,11.35432,4.195083
